fecha,gravedad,num_accidentes,modo_transporte,valor
2025-01-01,Sin lesiones,1647.0,Metro,62.13
2025-02-01,Grave,255.0,Autobús Urbano,41.49
2025-02-01,Grave,255.0,Metro,62.39
2025-02-01,Leve,1835.0,Autobús Urbano,41.49
2025-02-01,Leve,1835.0,Metro,62.39
2025-02-01,Sin lesiones,1556.0,Autobús Urbano,41.49
2025-02-01,Sin lesiones,1556.0,Metro,62.39
2025-03-01,Grave,351.0,Autobús Urbano,43.74
2025-03-01,Grave,351.0,Metro,66.71
2025-03-01,Leve,2127.0,Autobús Urbano,43.74
2025-03-01,Leve,2127.0,Metro,66.71
2025-03-01,Mortal,4.0,Autobús Urbano,43.74
2025-03-01,Mortal,4.0,Metro,66.71
2025-03-01,Sin lesiones,1942.0,Autobús Urbano,43.74
2025-03-01,Sin lesiones,1942.0,Metro,66.71
2025-04-01,Grave,317.0,Autobús Urbano,40.46
2025-04-01,Grave,317.0,Metro,59.81
2025-04-01,Leve,1961.0,Autobús Urbano,40.46
2025-04-01,Leve,1961.0,Metro,59.81
2025-04-01,Mortal,1.0,Autobús Urbano,40.46
2025-04-01,Mortal,1.0,Metro,59.81
2025-04-01,Sin lesiones,1766.0,Autobús Urbano,40.46
2025-04-01,Sin lesiones,1766.0,Metro,59.81
2025-05-01,Grave,322.0,Autobús Urbano,43.7
2025-05-01,Grave,322.0,Metro,63.5
2025-05-01,Leve,2044.0,Autobús Urbano,43.7
2025-05-01,Leve,2044.0,Metro,63.5
2025-05-01,Mortal,4.0,Autobús Urbano,43.7
2025-05-01,Mortal,4.0,Metro,63.5
2025-05-01,Sin lesiones,1820.0,Autobús Urbano,43.7
2025-05-01,Sin lesiones,1820.0,Metro,63.5
2025-06-01,Grave,352.0,Autobús Urbano,47.56
2025-06-01,Grave,352.0,Metro,61.42
2025-06-01,Leve,2195.0,Autobús Urbano,47.56
2025-06-01,Leve,2195.0,Metro,61.42
2025-06-01,Mortal,1.0,Autobús Urbano,47.56
2025-06-01,Mortal,1.0,Metro,61.42
2025-06-01,Sin lesiones,1740.0,Autobús Urbano,47.56
2025-06-01,Sin lesiones,1740.0,Metro,61.42
2025-07-01,Grave,314.0,,
2025-07-01,Leve,1956.0,,
2025-07-01,Mortal,5.0,,
2025-07-01,Sin lesiones,1678.0,,
