modo_transporte,ciudad,tipo_indicador,valor,fecha
Autobús Urbano,Madrid,Viajeros,37.32,2018-04-01
Metro,Madrid,Viajeros,58.36,2018-04-01
Autobús Urbano,Madrid,Viajeros,37.85,2018-05-01
Metro,Madrid,Viajeros,58.3,2018-05-01
Autobús Urbano,Madrid,Viajeros,36.91,2018-06-01
Metro,Madrid,Viajeros,55.65,2018-06-01
Autobús Urbano,Madrid,Viajeros,30.61,2018-07-01
Metro,Madrid,Viajeros,48.76,2018-07-01
Autobús Urbano,Madrid,Viajeros,22.84,2018-08-01
Metro,Madrid,Viajeros,34.83,2018-08-01
Autobús Urbano,Madrid,Viajeros,34.39,2018-09-01
Metro,Madrid,Viajeros,53.61,2018-09-01
Autobús Urbano,Madrid,Viajeros,40.49,2018-10-01
Metro,Madrid,Viajeros,62.91,2018-10-01
Autobús Urbano,Madrid,Viajeros,37.96,2018-11-01
Metro,Madrid,Viajeros,60.09,2018-11-01
Autobús Urbano,Madrid,Viajeros,35.44,2018-12-01
Metro,Madrid,Viajeros,56.59,2018-12-01
Autobús Urbano,Madrid,Viajeros,38.04,2019-01-01
Metro,Madrid,Viajeros,58.6,2019-01-01
Autobús Urbano,Madrid,Viajeros,38.46,2019-02-01
Metro,Madrid,Viajeros,57.35,2019-02-01
Autobús Urbano,Madrid,Viajeros,41.25,2019-03-01
Metro,Madrid,Viajeros,61.47,2019-03-01
Autobús Urbano,Madrid,Viajeros,36.74,2019-04-01
Metro,Madrid,Viajeros,55.27,2019-04-01
Autobús Urbano,Madrid,Viajeros,40.48,2019-05-01
Metro,Madrid,Viajeros,57.56,2019-05-01
Autobús Urbano,Madrid,Viajeros,38.4,2019-06-01
Metro,Madrid,Viajeros,56.9,2019-06-01
Autobús Urbano,Madrid,Viajeros,32.86,2019-07-01
Metro,Madrid,Viajeros,50.95,2019-07-01
Autobús Urbano,Madrid,Viajeros,22.92,2019-08-01
Metro,Madrid,Viajeros,36.13,2019-08-01
Autobús Urbano,Madrid,Viajeros,36.47,2019-09-01
Metro,Madrid,Viajeros,56.27,2019-09-01
Autobús Urbano,Madrid,Viajeros,43.1,2019-10-01
Metro,Madrid,Viajeros,66.15,2019-10-01
Autobús Urbano,Madrid,Viajeros,38.38,2019-11-01
Metro,Madrid,Viajeros,62.78,2019-11-01
Autobús Urbano,Madrid,Viajeros,33.03,2019-12-01
Metro,Madrid,Viajeros,58.04,2019-12-01
Autobús Urbano,Madrid,Viajeros,38.99,2020-01-01
Metro,Madrid,Viajeros,59.6,2020-01-01
Autobús Urbano,Madrid,Viajeros,40.9,2020-02-01
Metro,Madrid,Viajeros,60.41,2020-02-01
Autobús Urbano,Madrid,Viajeros,17.85,2020-03-01
Metro,Madrid,Viajeros,26.42,2020-03-01
Autobús Urbano,Madrid,Viajeros,3.12,2020-04-01
Metro,Madrid,Viajeros,4.86,2020-04-01
Autobús Urbano,Madrid,Viajeros,6.0,2020-05-01
Metro,Madrid,Viajeros,9.64,2020-05-01
Autobús Urbano,Madrid,Viajeros,14.7,2020-06-01
Metro,Madrid,Viajeros,21.78,2020-06-01
Autobús Urbano,Madrid,Viajeros,18.47,2020-07-01
Metro,Madrid,Viajeros,27.07,2020-07-01
Autobús Urbano,Madrid,Viajeros,14.04,2020-08-01
Metro,Madrid,Viajeros,20.71,2020-08-01
Autobús Urbano,Madrid,Viajeros,19.77,2020-09-01
Metro,Madrid,Viajeros,27.86,2020-09-01
Autobús Urbano,Madrid,Viajeros,22.73,2020-10-01
Metro,Madrid,Viajeros,30.07,2020-10-01
Autobús Urbano,Madrid,Viajeros,22.53,2020-11-01
Metro,Madrid,Viajeros,30.49,2020-11-01
Autobús Urbano,Madrid,Viajeros,22.56,2020-12-01
Metro,Madrid,Viajeros,30.93,2020-12-01
Autobús Urbano,Madrid,Viajeros,14.36,2021-01-01
Metro,Madrid,Viajeros,29.27,2021-01-01
Autobús Urbano,Madrid,Viajeros,21.52,2021-02-01
Metro,Madrid,Viajeros,30.3,2021-02-01
Autobús Urbano,Madrid,Viajeros,25.23,2021-03-01
Metro,Madrid,Viajeros,35.04,2021-03-01
Autobús Urbano,Madrid,Viajeros,24.7,2021-04-01
Metro,Madrid,Viajeros,33.8,2021-04-01
Autobús Urbano,Madrid,Viajeros,26.24,2021-05-01
Metro,Madrid,Viajeros,36.11,2021-05-01
Autobús Urbano,Madrid,Viajeros,27.1,2021-06-01
Metro,Madrid,Viajeros,37.71,2021-06-01
Autobús Urbano,Madrid,Viajeros,23.6,2021-07-01
Metro,Madrid,Viajeros,34.04,2021-07-01
Autobús Urbano,Madrid,Viajeros,17.09,2021-08-01
Metro,Madrid,Viajeros,26.0,2021-08-01
Autobús Urbano,Madrid,Viajeros,27.41,2021-09-01
Metro,Madrid,Viajeros,41.22,2021-09-01
Autobús Urbano,Madrid,Viajeros,30.64,2021-10-01
Metro,Madrid,Viajeros,47.2,2021-10-01
Autobús Urbano,Madrid,Viajeros,31.1,2021-11-01
Metro,Madrid,Viajeros,48.33,2021-11-01
Autobús Urbano,Madrid,Viajeros,27.69,2021-12-01
Metro,Madrid,Viajeros,43.29,2021-12-01
Autobús Urbano,Madrid,Viajeros,26.72,2022-01-01
Metro,Madrid,Viajeros,39.66,2022-01-01
Autobús Urbano,Madrid,Viajeros,29.77,2022-02-01
